Location,Latitude,Longitude
Ndongo bridge,9.277918,4.153941
Ndongo bridge,9.279031,4.154055
Ndongo bridge,9.278053,4.154354
My redemer lives hostle,9.278121,4.154354
BOBVOLT electronic repair,9.278165,4.154534
Ndongo Primary school,9.278247,4.154671
Ndongo Primary school,9.278339,4.154039
Ndongo Primary school,9.278392,4.155068
Ndongo Primary school,9.278465,4.155068
Ndongo Football Field,9.27858,4.155457
Ndongo Football Field,9.278717,4.155573
Ndongo first carifour,9.278865,4.155639
Ndongo first carifour,9.278961,4.155745
Ndongo first carifour,9.278961,4.155745
Ndogo street,9.27811,4.156063
Ndogo street,9.27887,4.156238
Ndogo street,9.278841,4.156416
Ndogo street,9.278809,4.15661
EL PASO HOSTEL COMPLEX,9.278738,4.156779
EL PASO HOSTEL COMPLEX,9.278745,4.156991
EL PASO HOSTEL COMPLEX,9.278712,4.157177
Quick Kings digital,9.27866,4.157347
Quick Kings digital,9.278601,4.157543
Gaby vera cite,9.278559,4.157727
Behind CUIB,9.278323,4.157675
Behind CUIB,9.278115,4.157613
Behind CUIB,9.277951,4.157572
Behind CUIB,9.277761,4.157642
GTHS Buea entrance,9.277662,4.157835
GTHS Street,9.277654,4.158076
GTHS Street,9.277748,4.158241
CUIB university entrance,9.277814,4.158443
CUIB street,9.277814,4.15861
Havilah enterance,9.277879,4.158829
Young atar garrage,9.278042,4.159024
CUIB junction,9.278096,4.159185
CUIB elemetary,9.278299,4.159215
CUIB elemetary,9.278499,4.159173
ST chaire Parish,9.278917,4.159142
ST chaire Parish arenna,9.279226,4.159097
Peti cards electronic store,9.279473,4.159073
Peti cards electronic store,9.279676,4.159056
Goodman mobile phone repair,9.279906,4.159016
pato fashion ,9.280169,4.158931
Odogwu fashion,9.280413,4.158933
HUIB campus A,9.280653,4.158867
Supper phone shop,9.280726,4.158867
Longho gtaphics,9.280706,4.159369
Molyko Omisport Stadium,9.280179,4.15959
MARCK Sarl,9.280692,4.15984
MARCK Sarl entrance,9.280657,4.160081
Centrak market road,9.280638,4.160348
Big DIH Telecom,9.280565,4.160619
HUIB Entrance,9.280561,4.161
HUIB Entrance,9.28076,4.161242
HUIB street,9.280936,4.161271
HUIB street,9.281245,4.161319
Chinees Cite,9.281438,4.161385
Emma City,9.281599,4.161455
Guzang Hosle,9.281845,4.161492
Advance Biodivisity Science,9.281937,4.161527
Lukmef,9.282065,4.161772
Nkong Hill top,9.282192,4.161891
HUIB Street Bokova road,9.282223,4.161891
HuIB campus B,9.282364,4.161943
